"auth.name","2014","2015","2016","2017","2018","change"
"Westminster",46.426,55.87491623,73.191100015,57.5823951,69.19121048,20.1603551916166
"Kensington & Chelsea",32.997,34.237,32.174,34.467,37.341,8.33841065366874
"Wandsworth",20.35,21.174,20.506,24.216,26.348,8.80409646514702
"Hammersmith & Fulham",23.787,22.672,23.077,23.817,26.066,9.44283494982576
"Camden",24.468,25.228,26.75119944,19.599,25.977,32.5424766569723
"Islington",13.732,15.532,19.111,20.514,23.182,13.0057521692503
"Haringey",16.145,14.917,14.6350809212565,16.8408151721751,17.61519,4.59820275864264
"Lambeth",9.683,9.942,11.92346343,12.14256215,16.973,39.7810428336988
"Hackney",10.758,12.92,14.505,15.613,15.536,-0.493178761288671
"Newham",7.327,7.692,8.886348,18.977,14.29,-24.6983190177583
"City of London",5.881,5.264,6.549,14.383,13.886,-3.45546826114163
"Barnet",0.346,6.703,8.643,10.6897810123124,13.6954825,28.1175216239287
"Hounslow",7.655,7.19566666666667,11.972,12.243,13.047,6.56701788777261
"Ealing",6.444,4.468,-0.637,6.811,12.789,87.7697841726619
"Merton",7.226,6.68079,10.227,12.279,12.174,-0.855118494991447
"Tower Hamlets",10.038,9.47888534,9.504,10.59081801,11.7107,10.5740839748411
"Brent",10.506,7.95355768,10.534,11.87,10.9955281512628,-7.36707538952985
"Croydon",4.352,4.176,6.70276503,7.69870288,10.635223,38.1430504043559
"Waltham Forest",3.325,5.725,5.15,6.842,9.479,38.5413621748027
"Richmond upon Thames",6.328,7.462,8.262,9.815,8.603,-12.348446255731
"Harrow",6.564,7.368319886,8.541980095,7.0474190867,8.462400329,20.0780062160682
"Lewisham",4.531,4.887,5.414,6.006,7.51454362,25.1172763902764
"Redbridge",3.028,3.423,5.323,7.493,7.165,-4.37741892432938
"Kingston upon Thames",5.348,5.594,6.646,7.52,6.39992249,-14.8946477393617
"Bromley",5.566,5.912,6.123,6.196,6.33,2.16268560361523
"Southwark",1.457,5.173,6.876,6.891,5.513,-19.9970976636192
"Bexley",1.959,1.894,2.772,3.071,4.793,56.0729404102898
"Barking & Dagenham",2.823,3.138,3.12,3.28,4.724,44.0243902439024
"Havering",0.411,1.941,2.271,4.772,4.285,-10.2053646269908
"Greenwich",2.204,2.202,3.434,3.422,3.871,13.1209818819404
"Hillingdon",1.671,1.901,2.286,2.38928246,2.685,12.3768346752941
"Enfield",2.925,1.312,2.2400852248781,-0.348605587,1.828,NA
"Sutton",1.468,1.613,1.736,1.488,1.314,-11.6935483870968
"Total deficit",NA,NA,-0.637,-0.348605587,NA,NA
"Total surplus",307.729,331.654135802667,379.087022156135,406.566775871188,454.419200570263,11.7698807524391
"Total",307.729,331.654135802667,378.450022156135,406.218170284188,454.419200570263,11.865798679649
