"auth.name","2011","2012","2013","2014","2015"
"Cardiff",54.0161636153719,58.1417934606669,55.7755172189047,50.3478260869565,51.852858290718
"Swansea",69.0672451193059,71.5965626413387,72.8020788220009,62.2703538967318,55.894234300404
"Carmarthenshire",81.9738529966469,77.1926040133732,67.5112632627038,71.9458768653933,55.1193772812753
"Pembrokeshire",80.359820089955,79.6453353893601,72.3529411764706,67.6528599605523,67.3022994952328
"Neath Port Talbot",82.9927884615385,85.7952764976959,83.7143300783272,87.5502008032128,84.8631513772069
"Gwynedd",64.8373983739837,61.6777883698761,61.9933237958989,54.2673902318698,44.5232466509062
"Bridgend",58.7721595706558,73.6295012340817,63.4510074454709,91.2231529091021,81.0090171325518
"Ceredigion",60.019395021034,72.1867091918789,75.2380188990123,71.7335996571863,98.3815501821457
"Flintshire",151.141552511416,147.958895249958,272.27034910101,101.844244034612,196.353465267571
"Denbighshire",50.4163188982697,53.5665294924554,58.3846153846154,61.3109512390088,64.7692307692308
"Conwy",66.863641068439,59.0435506711829,58.3508479216381,53.548252985093,43.8898096865082
"Rhondda Cynon Taf",67.4586698770836,62.959512880504,71.6029483163212,61.3172067231732,61.5293156266097
"Powys",80.4200694148645,70.3429058630813,63.5811172802411,54.8789435069699,47.6279650436954
"Wrexham",54.044312519877,71.6204617072045,196.262864812198,55.5037094267981,64.7509104026346
"Vale of Glamorgan",138.557993730408,174.842767295597,94.4502617801047,80.8375634517766,84.2565597667638
"Merthyr Tydfil",81.1471710967839,61.5333518108639,75.8635524435501,87.4464147578323,75.1798602858054
"Caerphilly",64.1421947449768,75.3904146472806,69.9002849002849,72.506241331484,72.9216524216524
"Newport",125.603217158177,131.250425853107,97.3680425477745,89.6070945292867,78.5397181802611
"Monmouthshire",42.9884926141832,59.824018278379,50.5611221936491,40.7636547430919,34.4842001842532
"Blaenau Gwent",-Inf,-Inf,913.75,679.627367928696,1134.79333333333
"Isle of Anglesey",85.1744186046512,83.3333333333333,78.0927835051546,65.5701754385965,64.4359464627151
"Torfaen",1980,657.142857142857,855.555555555556,525,1720
"Total",69.4194365424478,71.5078167608098,70.5343157934989,64.3252325613668,61.4319280603532
